"iata_code","iana_tz","windows_tz"
"ACS","Asia/Krasnoyarsk","North Asia Standard Time"
"ACT","America/Chicago","Central Standard Time"
"ACU","America/Panama","SA Pacific Standard Time"
"ACV","America/Los_Angeles","Pacific Standard Time"
"ACX","Asia/Shanghai","China Standard Time"
"ACY","America/New_York","Eastern Standard Time"
"ACZ","Asia/Tehran","Iran Standard Time"
"ADA","Europe/Istanbul","Turkey Standard Time"
"ADB","Europe/Istanbul","Turkey Standard Time"
"ADC","Pacific/Port_Moresby","West Pacific Standard Time"
"ADD","Africa/Addis_Ababa","E. Africa Standard Time"
"ADE","Asia/Aden","Arab Standard Time"
"ADF","Europe/Istanbul","Turkey Standard Time"
"ADG","America/Detroit","Eastern Standard Time"
"ADH","Asia/Yakutsk","Yakutsk Standard Time"
"ADI","Africa/Windhoek","Namibia Standard Time"
"ADJ","Asia/Amman","Jordan Standard Time"
"ADK","America/Adak","Aleutian Standard Time"
"ADL","Australia/Adelaide","Cen. Australia Standard Time"
"ADM","America/Chicago","Central Standard Time"
"ADO","Australia/Adelaide","Cen. Australia Standard Time"
"ADP","Asia/Colombo","Sri Lanka Standard Time"
"ADQ","America/Anchorage","Alaskan Standard Time"
"ADR","America/New_York","Eastern Standard Time"
"ADS","America/Chicago","Central Standard Time"
"ADT","America/Chicago","Central Standard Time"
"ADU","Asia/Tehran","Iran Standard Time"
"ADV","Africa/Khartoum","Sudan Standard Time"
"ADW","America/New_York","Eastern Standard Time"
"ADX","Europe/London","GMT Standard Time"
"ADY","Africa/Johannesburg","South Africa Standard Time"
"ADZ","America/Bogota","SA Pacific Standard Time"
"AEA","Pacific/Tarawa","UTC+12"
"AEB","Asia/Shanghai","China Standard Time"
"AEE","Africa/Juba","South Sudan Standard Time"
"AEG","Asia/Jakarta","SE Asia Standard Time"
"AEH","Africa/Ndjamena","W. Central Africa Standard Time"
"AEK","Pacific/Port_Moresby","West Pacific Standard Time"
"AEL","America/Chicago","Central Standard Time"
"AEM","Asia/Vladivostok","Vladivostok Standard Time"
"AEO","Africa/Nouakchott","Greenwich Standard Time"
"AEP","America/Argentina/Buenos_Aires","Argentina Standard Time"
"AEQ","Asia/Shanghai","China Standard Time"
"AER","Europe/Moscow","Russian Standard Time"
"AES","Europe/Oslo","W. Europe Standard Time"
"AET","America/Anchorage","Alaskan Standard Time"
"AEU","Asia/Tehran","Iran Standard Time"
"AEX","America/Chicago","Central Standard Time"
"AEY","Atlantic/Reykjavik","Greenwich Standard Time"
"AFA","America/Argentina/Mendoza","Argentina Standard Time"
"AFD","Africa/Johannesburg","South Africa Standard Time"
"AFF","America/Denver","Mountain Standard Time"
"AFI","America/Bogota","SA Pacific Standard Time"
"AFK","Asia/Colombo","Sri Lanka Standard Time"
"AFL","America/Cuiaba","Central Brazilian Standard Time"
"AFN","America/New_York","Eastern Standard Time"
"AFO","America/Denver","Mountain Standard Time"
"AFR","Pacific/Port_Moresby","West Pacific Standard Time"
"AFS","Asia/Samarkand","West Asia Standard Time"
"AFT","Pacific/Guadalcanal","Central Pacific Standard Time"
"AFW","America/Chicago","Central Standard Time"
"AFY","Europe/Istanbul","Turkey Standard Time"
"AFZ","Asia/Tehran","Iran Standard Time"
"AGA","Africa/Casablanca","Morocco Standard Time"
"AGB","Europe/Berlin","W. Europe Standard Time"
"AGC","America/New_York","Eastern Standard Time"
"AGD","Asia/Jayapura","Tokyo Standard Time"
"AGE","Europe/Berlin","W. Europe Standard Time"
"AGF","Europe/Paris","Romance Standard Time"
"AGG","Pacific/Port_Moresby","West Pacific Standard Time"
"AGH","Europe/Stockholm","W. Europe Standard Time"
"AGI","America/Paramaribo","SA Eastern Standard Time"
"AGJ","Asia/Tokyo","Tokyo Standard Time"
"AGK","Pacific/Port_Moresby","West Pacific Standard Time"
"AGL","Pacific/Port_Moresby","West Pacific Standard Time"
"AGM","America/Nuuk","Greenland Standard Time"
"AGN","America/Juneau","Alaskan Standard Time"
"AGO","America/Chicago","Central Standard Time"
"AGP","Europe/Madrid","Romance Standard Time"
"AGR","Asia/Kolkata","India Standard Time"
"AGS","America/New_York","Eastern Standard Time"
"AGT","America/Asuncion","Paraguay Standard Time"
"AGU","America/Mexico_City","Central Standard Time (Mexico)"
"AGV","America/Caracas","Venezuela Standard Time"
"AGW","Australia/Brisbane","E. Australia Standard Time"
"AGX","Asia/Kolkata","India Standard Time"
"AGY","Australia/Perth","W. Australia Standard Time"
"AGZ","Africa/Johannesburg","South Africa Standard Time"
"AHB","Asia/Riyadh","Arab Standard Time"
"AHC","America/Los_Angeles","Pacific Standard Time"
"AHD","America/Chicago","Central Standard Time"
"AHE","Pacific/Tahiti","Hawaiian Standard Time"
"AHF","America/Chicago","Central Standard Time"
"AHH","America/Chicago","Central Standard Time"
"AHI","Asia/Jayapura","Tokyo Standard Time"
"AHJ","Asia/Shanghai","China Standard Time"
"AHL","America/Guyana","SA Western Standard Time"
"AHM","America/Los_Angeles","Pacific Standard Time"
"AHN","America/New_York","Eastern Standard Time"
"AHO","Europe/Rome","W. Europe Standard Time"
"AHS","America/Tegucigalpa","Central America Standard Time"
"AHU","Africa/Casablanca","Morocco Standard Time"
"AHY","Indian/Antananarivo","E. Africa Standard Time"
"AHZ","Europe/Paris","Romance Standard Time"
"AIA","America/Denver","Mountain Standard Time"
"AIC","Pacific/Majuro","UTC+12"
"AID","America/Indiana/Indianapolis","US Eastern Standard Time"
"AIE","Pacific/Port_Moresby","West Pacific Standard Time"
"AIF","America/Sao_Paulo","E. South America Standard Time"
"AIG","Africa/Bangui","W. Central Africa Standard Time"
"AIH","Pacific/Port_Moresby","West Pacific Standard Time"
"AII","Africa/Djibouti","E. Africa Standard Time"
"AIK","America/New_York","Eastern Standard Time"
"AIL","America/Panama","SA Pacific Standard Time"
"AIM","Pacific/Majuro","UTC+12"
"AIN","America/Anchorage","Alaskan Standard Time"
"AIO","America/Chicago","Central Standard Time"
"AIP","Asia/Kolkata","India Standard Time"
"AIR","America/Cuiaba","Central Brazilian Standard Time"
"AIS","Pacific/Tarawa","UTC+12"
"AIT","Pacific/Rarotonga","Hawaiian Standard Time"
"AIU","Pacific/Rarotonga","Hawaiian Standard Time"
"AIV","America/Chicago","Central Standard Time"
"AIW","Africa/Windhoek","Namibia Standard Time"
"AIZ","America/Chicago","Central Standard Time"
"AJA","Europe/Paris","Romance Standard Time"
"AJF","Asia/Riyadh","Arab Standard Time"
"AJI","Europe/Istanbul","Turkey Standard Time"
"AJJ","Africa/Nouakchott","Greenwich Standard Time"
"AJK","Asia/Tehran","Iran Standard Time"
"AJL","Asia/Kolkata","India Standard Time"
"AJN","Indian/Comoro","E. Africa Standard Time"
"AJR","Europe/Stockholm","W. Europe Standard Time"
"AJS","America/Mazatlan","Mountain Standard Time (Mexico)"
"AJU","America/Maceio","SA Eastern Standard Time"
"AJY","Africa/Niamey","W. Central Africa Standard Time"
"AKA","Asia/Shanghai","China Standard Time"
"AKB","America/Adak","Aleutian Standard Time"
"AKC","America/New_York","Eastern Standard Time"
"AKD","Asia/Kolkata","India Standard Time"
"AKE","Africa/Libreville","W. Central Africa Standard Time"
"AKF","Africa/Tripoli","Libya Standard Time"
"AKG","Pacific/Port_Moresby","West Pacific Standard Time"
"AKH","Asia/Riyadh","Arab Standard Time"
"AKI","America/Anchorage","Alaskan Standard Time"
"AKJ","Asia/Tokyo","Tokyo Standard Time"
"AKK","America/Anchorage","Alaskan Standard Time"
"AKL","Pacific/Auckland","New Zealand Standard Time"
"AKM","Africa/Ndjamena","W. Central Africa Standard Time"
"AKN","America/Anchorage","Alaskan Standard Time"
"AKO","America/Denver","Mountain Standard Time"
"AKP","America/Anchorage","Alaskan Standard Time"
"AKQ","Asia/Jakarta","SE Asia Standard Time"
"AKR","Africa/Lagos","W. Central Africa Standard Time"
"AKS","Pacific/Guadalcanal","Central Pacific Standard Time"
"AKT","Asia/Nicosia","GTB Standard Time"
"AKU","Asia/Shanghai","China Standard Time"
"AKV","America/Iqaluit","Eastern Standard Time"
"AKW","Asia/Tehran","Iran Standard Time"
"AKX","Asia/Aqtobe","West Asia Standard Time"
"AKY","Asia/Yangon","Myanmar Standard Time"
"ALA","Asia/Almaty","Central Asia Standard Time"
"ALB","America/New_York","Eastern Standard Time"
"ALC","Europe/Madrid","Romance Standard Time"
"ALD","America/Lima","SA Pacific Standard Time"
"ALE","America/Chicago","Central Standard Time"
"ALF","Europe/Oslo","W. Europe Standard Time"
"ALG","Africa/Algiers","W. Central Africa Standard Time"
"ALH","Australia/Perth","W. Australia Standard Time"
"ALI","America/Chicago","Central Standard Time"
"ALJ","Africa/Johannesburg","South Africa Standard Time"
"ALL","Europe/Rome","W. Europe Standard Time"
"ALM","America/Denver","Mountain Standard Time"
"ALN","America/Chicago","Central Standard Time"
"ALO","America/Chicago","Central Standard Time"
"ALP","Asia/Damascus","Syria Standard Time"
"ALQ","America/Sao_Paulo","E. South America Standard Time"
"ALR","Pacific/Auckland","New Zealand Standard Time"
"ALS","America/Denver","Mountain Standard Time"
"ALT","America/Santarem","SA Eastern Standard Time"
"ALU","Africa/Mogadishu","E. Africa Standard Time"
"ALV","Europe/Andorra","W. Europe Standard Time"
"ALW","America/Los_Angeles","Pacific Standard Time"
"ALX","America/Chicago","Central Standard Time"
"ALZ","America/Anchorage","Alaskan Standard Time"
"AMA","America/Chicago","Central Standard Time"
"AMB","Indian/Antananarivo","E. Africa Standard Time"
"AMC","Africa/Ndjamena","W. Central Africa Standard Time"
"AMD","Asia/Kolkata","India Standard Time"
"AME","Africa/Maputo","South Africa Standard Time"
"AMF","Pacific/Port_Moresby","West Pacific Standard Time"
"AMH","Africa/Addis_Ababa","E. Africa Standard Time"
"AMI","Asia/Makassar","Singapore Standard Time"
"AMJ","America/Sao_Paulo","E. South America Standard Time"
"AMK","America/Denver","Mountain Standard Time"
"AMM","Asia/Amman","Jordan Standard Time"
"AMN","America/Detroit","Eastern Standard Time"
"AMO","Africa/Ndjamena","W. Central Africa Standard Time"
"AMP","Indian/Antananarivo","E. Africa Standard Time"
"AMQ","Asia/Jayapura","Tokyo Standard Time"
"AMS","Europe/Amsterdam","W. Europe Standard Time"
"AMT","Australia/Adelaide","Cen. Australia Standard Time"
"AMU","Pacific/Port_Moresby","West Pacific Standard Time"
"AMV","Europe/Moscow","Russian Standard Time"
"AMW","America/Chicago","Central Standard Time"
"AMX","Australia/Darwin","AUS Central Standard Time"
"AMY","Indian/Antananarivo","E. Africa Standard Time"
"AMZ","Pacific/Auckland","New Zealand Standard Time"
"ANA","Africa/Nairobi","E. Africa Standard Time"
"ANB","America/Chicago","Central Standard Time"
"ANC","America/Anchorage","Alaskan Standard Time"
"AND","America/New_York","Eastern Standard Time"
"ANE","Europe/Paris","Romance Standard Time"
"ANF","America/Santiago","Pacific SA Standard Time"
"ANG","Europe/Paris","Romance Standard Time"
"ANI","America/Anchorage","Alaskan Standard Time"
"ANJ","Africa/Brazzaville","W. Central Africa Standard Time"
"ANK","Europe/Istanbul","Turkey Standard Time"
"ANL","Africa/Luanda","W. Central Africa Standard Time"
"ANM","Indian/Antananarivo","E. Africa Standard Time"
"ANN","America/Metlakatla","Alaskan Standard Time"
"ANO","Africa/Maputo","South Africa Standard Time"
"ANP","America/New_York","Eastern Standard Time"
"ANQ","America/Indiana/Indianapolis","US Eastern Standard Time"
"ANR","Europe/Brussels","Romance Standard Time"
"ANS","America/Lima","SA Pacific Standard Time"
"ANU","America/Antigua","SA Western Standard Time"
"ANV","America/Anchorage","Alaskan Standard Time"
"ANW","America/Chicago","Central Standard Time"
"ANX","Europe/Oslo","W. Europe Standard Time"
"ANY","America/Chicago","Central Standard Time"
"ANZ","Australia/Darwin","AUS Central Standard Time"
"AOB","Pacific/Port_Moresby","West Pacific Standard Time"
"AOC","Europe/Berlin","W. Europe Standard Time"
"AOD","Africa/Ndjamena","W. Central Africa Standard Time"
"AOE","Europe/Istanbul","Turkey Standard Time"
"AOG","Asia/Shanghai","China Standard Time"
"AOH","America/New_York","Eastern Standard Time"
"AOI","Europe/Rome","W. Europe Standard Time"
"AOJ","Asia/Tokyo","Tokyo Standard Time"
"AOK","Europe/Athens","GTB Standard Time"
"AOL","America/Argentina/Cordoba","Argentina Standard Time"
"AOM","Asia/Muscat","Arabian Standard Time"
"AOO","America/New_York","Eastern Standard Time"
"AOP","America/Lima","SA Pacific Standard Time"
"AOQ","America/Nuuk","Greenland Standard Time"
"AOR","Asia/Kuala_Lumpur","Singapore Standard Time"
"AOS","America/Anchorage","Alaskan Standard Time"
"AOT","Europe/Rome","W. Europe Standard Time"
"AOU","Asia/Vientiane","SE Asia Standard Time"
"APA","America/Denver","Mountain Standard Time"
"APB","America/La_Paz","SA Western Standard Time"
"APC","America/Los_Angeles","Pacific Standard Time"
"APF","America/New_York","Eastern Standard Time"
"APG","America/New_York","Eastern Standard Time"
"APH","America/New_York","Eastern Standard Time"
"API","America/Bogota","SA Pacific Standard Time"
"APK","Pacific/Tahiti","Hawaiian Standard Time"
"APL","Africa/Maputo","South Africa Standard Time"
"APN","America/Detroit","Eastern Standard Time"
"APO","America/Bogota","SA Pacific Standard Time"
"APP","Pacific/Port_Moresby","West Pacific Standard Time"
"APQ","America/Maceio","SA Eastern Standard Time"
"APR","Pacific/Port_Moresby","West Pacific Standard Time"
"APS","America/Sao_Paulo","E. South America Standard Time"
"APT","America/Chicago","Central Standard Time"
"APU","America/Sao_Paulo","E. South America Standard Time"
"APV","America/Los_Angeles","Pacific Standard Time"
"APW","Pacific/Apia","Samoa Standard Time"
"APX","America/Sao_Paulo","E. South America Standard Time"
"APY","America/Fortaleza","SA Eastern Standard Time"
"APZ","America/Argentina/Salta","Argentina Standard Time"
"AQA","America/Sao_Paulo","E. South America Standard Time"
"AQB","America/Guatemala","Central America Standard Time"
"AQG","Asia/Shanghai","China Standard Time"
"AQI","Asia/Riyadh","Arab Standard Time"
"AQJ","Asia/Amman","Jordan Standard Time"
"AQM","America/Porto_Velho","SA Western Standard Time"
"AQP","America/Lima","SA Pacific Standard Time"
"AQY","America/Anchorage","Alaskan Standard Time"
"ARA","America/Chicago","Central Standard Time"
"ARB","America/Detroit","Eastern Standard Time"
"ARC","America/Anchorage","Alaskan Standard Time"
"ARD","Asia/Makassar","Singapore Standard Time"
"ARE","America/Puerto_Rico","SA Western Standard Time"
"ARF","America/Bogota","SA Pacific Standard Time"
"ARG","America/Chicago","Central Standard Time"
"ARH","Europe/Moscow","Russian Standard Time"
"ARI","America/Lima","SA Pacific Standard Time"
"ARK","Africa/Dar_es_Salaam","E. Africa Standard Time"
"ARL","Africa/Ouagadougou","Greenwich Standard Time"
"ARM","Australia/Sydney","AUS Eastern Standard Time"
"ARN","Europe/Stockholm","W. Europe Standard Time"
"ARO","America/Bogota","SA Pacific Standard Time"
"ARP","Pacific/Port_Moresby","West Pacific Standard Time"
"ARQ","America/Bogota","SA Pacific Standard Time"
"ARR","America/Argentina/Catamarca","Argentina Standard Time"
"ARS","America/Cuiaba","Central Brazilian Standard Time"
"ART","America/New_York","Eastern Standard Time"
"ARU","America/Sao_Paulo","E. South America Standard Time"
"ARV","America/Chicago","Central Standard Time"
"ARW","Europe/Bucharest","GTB Standard Time"
"ARX","America/Fortaleza","SA Eastern Standard Time"
"ARY","Australia/Melbourne","AUS Eastern Standard Time"
"ARZ","Africa/Luanda","W. Central Africa Standard Time"
"ASA","Africa/Asmara","E. Africa Standard Time"
"ASB","Asia/Ashgabat","West Asia Standard Time"
"ASC","America/La_Paz","SA Western Standard Time"
"ASD","America/Nassau","Eastern Standard Time"
"ASE","America/Denver","Mountain Standard Time"
"ASF","Europe/Astrakhan","Astrakhan Standard Time"
"ASG","Pacific/Auckland","New Zealand Standard Time"
"ASH","America/New_York","Eastern Standard Time"
"ASI","Atlantic/St_Helena","Greenwich Standard Time"
"ASJ","Asia/Tokyo","Tokyo Standard Time"
"ASK","Africa/Abidjan","Greenwich Standard Time"
"ASL","America/Chicago","Central Standard Time"
"ASM","Africa/Asmara","E. Africa Standard Time"
"ASN","America/Chicago","Central Standard Time"
"ASO","Africa/Addis_Ababa","E. Africa Standard Time"
"ASP","Australia/Darwin","AUS Central Standard Time"
"ASQ","America/Los_Angeles","Pacific Standard Time"
"ASR","Europe/Istanbul","Turkey Standard Time"
"ASS","Africa/Johannesburg","South Africa Standard Time"
"AST","America/Los_Angeles","Pacific Standard Time"
"ASU","America/Asuncion","Paraguay Standard Time"
"ASV","Africa/Nairobi","E. Africa Standard Time"
"ASW","Africa/Cairo","Egypt Standard Time"
"ASX","America/Chicago","Central Standard Time"
"ASY","America/Chicago","Central Standard Time"
"ASZ","Pacific/Port_Moresby","West Pacific Standard Time"
"ATA","America/Lima","SA Pacific Standard Time"
"ATB","Africa/Khartoum","Sudan Standard Time"
"ATC","America/Nassau","Eastern Standard Time"
"ATD","Pacific/Guadalcanal","Central Pacific Standard Time"
"ATE","America/Chicago","Central Standard Time"
"ATF","America/Guayaquil","SA Pacific Standard Time"
"ATG","Asia/Karachi","Pakistan Standard Time"
"ATH","Europe/Athens","GTB Standard Time"
"ATI","America/Montevideo","Montevideo Standard Time"
"ATJ","Indian/Antananarivo","E. Africa Standard Time"
"ATK","America/Anchorage","Alaskan Standard Time"
"ATL","America/New_York","Eastern Standard Time"
"ATM","America/Santarem","SA Eastern Standard Time"
"ATN","Pacific/Port_Moresby","West Pacific Standard Time"
"ATO","America/New_York","Eastern Standard Time"
"ATP","Pacific/Port_Moresby","West Pacific Standard Time"
"ATQ","Asia/Kolkata","India Standard Time"
"ATR","Africa/Nouakchott","Greenwich Standard Time"
"ATS","America/Denver","Mountain Standard Time"
"ATT","America/Nome","Alaskan Standard Time"
"ATV","Africa/Ndjamena","W. Central Africa Standard Time"
"ATW","America/Chicago","Central Standard Time"
"ATX","Asia/Almaty","Central Asia Standard Time"
"ATY","America/Chicago","Central Standard Time"
"ATZ","Africa/Cairo","Egypt Standard Time"
"AUA","America/Aruba","SA Western Standard Time"
"AUC","America/Bogota","SA Pacific Standard Time"
"AUD","Australia/Brisbane","E. Australia Standard Time"
"AUE","Africa/Cairo","Egypt Standard Time"
"AUF","Europe/Paris","Romance Standard Time"
"AUG","America/New_York","Eastern Standard Time"
"AUH","Asia/Dubai","Arabian Standard Time"
"AUI","Pacific/Port_Moresby","West Pacific Standard Time"
"AUJ","Pacific/Port_Moresby","West Pacific Standard Time"
"AUK","America/Nome","Alaskan Standard Time"
"AUL","Pacific/Majuro","UTC+12"
"AUM","America/Chicago","Central Standard Time"
"AUN","America/Los_Angeles","Pacific Standard Time"
"AUO","America/Chicago","Central Standard Time"
"AUP","Pacific/Port_Moresby","West Pacific Standard Time"
"AUQ","Pacific/Marquesas","Marquesas Standard Time"
"AUR","Europe/Paris","Romance Standard Time"
"AUS","America/Chicago","Central Standard Time"
"AUT","Asia/Dili","Tokyo Standard Time"
"AUU","Australia/Brisbane","E. Australia Standard Time"
"AUV","Pacific/Port_Moresby","West Pacific Standard Time"
"AUW","America/Chicago","Central Standard Time"
"AUX","America/Araguaina","Tocantins Standard Time"
"AUY","Pacific/Efate","Central Pacific Standard Time"
"AUZ","America/Chicago","Central Standard Time"
"AVA","Asia/Shanghai","China Standard Time"
"AVB","Europe/Rome","W. Europe Standard Time"
"AVG","Australia/Darwin","AUS Central Standard Time"
"AVI","America/Havana","Cuba Standard Time"
"AVK","Asia/Ulaanbaatar","Ulaanbaatar Standard Time"
"AVL","America/New_York","Eastern Standard Time"
"AVN","Europe/Paris","Romance Standard Time"
"AVO","America/New_York","Eastern Standard Time"
"AVP","America/New_York","Eastern Standard Time"
"AVR","Europe/Lisbon","GMT Standard Time"
"AVU","Pacific/Guadalcanal","Central Pacific Standard Time"
"AVV","Australia/Melbourne","AUS Eastern Standard Time"
"AVW","America/Phoenix","US Mountain Standard Time"
"AVX","America/Los_Angeles","Pacific Standard Time"
"AWA","Africa/Addis_Ababa","E. Africa Standard Time"
"AWB","Pacific/Port_Moresby","West Pacific Standard Time"
"AWD","Pacific/Efate","Central Pacific Standard Time"
"AWE","Africa/Libreville","W. Central Africa Standard Time"
"AWK","Pacific/Wake","UTC+12"
"AWM","America/Chicago","Central Standard Time"
"AWN","Australia/Adelaide","Cen. Australia Standard Time"
"AWP","Australia/Darwin","AUS Central Standard Time"
"AWZ","Asia/Tehran","Iran Standard Time"
"AXA","America/Anguilla","SA Western Standard Time"
"AXB","America/New_York","Eastern Standard Time"
"AXC","Australia/Brisbane","E. Australia Standard Time"
"AXD","Europe/Athens","GTB Standard Time"
"AXE","America/Sao_Paulo","E. South America Standard Time"
"AXF","Asia/Shanghai","China Standard Time"
"AXG","America/Chicago","Central Standard Time"
"AXJ","Asia/Tokyo","Tokyo Standard Time"
"AXK","Asia/Aden","Arab Standard Time"
"AXL","Australia/Darwin","AUS Central Standard Time"
"AXM","America/Bogota","SA Pacific Standard Time"
"AXN","America/Chicago","Central Standard Time"
"AXO","Asia/Makassar","Singapore Standard Time"
"AXP","America/Nassau","Eastern Standard Time"
"AXR","Pacific/Tahiti","Hawaiian Standard Time"
"AXS","America/Chicago","Central Standard Time"
"AXT","Asia/Tokyo","Tokyo Standard Time"
"AXU","Africa/Addis_Ababa","E. Africa Standard Time"
"AXV","America/New_York","Eastern Standard Time"
"AXX","America/Denver","Mountain Standard Time"
"AYA","America/Bogota","SA Pacific Standard Time"
"AYC","America/Bogota","SA Pacific Standard Time"
"AYD","Australia/Darwin","AUS Central Standard Time"
"AYG","America/Bogota","SA Pacific Standard Time"
"AYI","America/Bogota","SA Pacific Standard Time"
"AYK","Asia/Qostanay","Central Asia Standard Time"
"AYL","Australia/Darwin","AUS Central Standard Time"
"AYM","Asia/Dubai","Arabian Standard Time"
"AYN","Asia/Shanghai","China Standard Time"
"AYO","America/Asuncion","Paraguay Standard Time"
"AYP","America/Lima","SA Pacific Standard Time"
"AYQ","Australia/Darwin","AUS Central Standard Time"
"AYR","Australia/Brisbane","E. Australia Standard Time"
"AYS","America/New_York","Eastern Standard Time"
"AYT","Europe/Istanbul","Turkey Standard Time"
"AYU","Pacific/Port_Moresby","West Pacific Standard Time"
"AYW","Asia/Jayapura","Tokyo Standard Time"
"AYX","America/Lima","SA Pacific Standard Time"
"AYY","Asia/Colombo","Sri Lanka Standard Time"
"AZA","America/Phoenix","US Mountain Standard Time"
"AZB","Pacific/Port_Moresby","West Pacific Standard Time"
"AZD","Asia/Tehran","Iran Standard Time"
"AZG","America/Mexico_City","Central Standard Time (Mexico)"
"AZI","Asia/Dubai","Arabian Standard Time"
"AZJ","Asia/Shanghai","China Standard Time"
"AZL","America/Cuiaba","Central Brazilian Standard Time"
"AZN","Asia/Tashkent","West Asia Standard Time"
"AZO","America/Detroit","Eastern Standard Time"
"AZP","America/Mexico_City","Central Standard Time (Mexico)"
"AZR","Africa/Algiers","W. Central Africa Standard Time"
"AZS","America/Santo_Domingo","SA Western Standard Time"
"AZT","America/Bogota","SA Pacific Standard Time"
"AZZ","Africa/Luanda","W. Central Africa Standard Time"
"BAA","Pacific/Port_Moresby","West Pacific Standard Time"
"BAB","America/Los_Angeles","Pacific Standard Time"
"BAC","America/Bogota","SA Pacific Standard Time"
"BAD","America/Chicago","Central Standard Time"
"BAE","Europe/Paris","Romance Standard Time"
"BAF","America/New_York","Eastern Standard Time"
"BAG","Asia/Manila","Singapore Standard Time"
"BAH","Asia/Bahrain","Arab Standard Time"
"BAI","America/Costa_Rica","Central America Standard Time"
"BAJ","Pacific/Port_Moresby","West Pacific Standard Time"
"BAL","Europe/Istanbul","Turkey Standard Time"
"BAM","America/Los_Angeles","Pacific Standard Time"
"BAN","Africa/Lubumbashi","South Africa Standard Time"
"BAO","Asia/Bangkok","SE Asia Standard Time"
"BAQ","America/Bogota","SA Pacific Standard Time"
"BAR","Asia/Shanghai","China Standard Time"
"BAS","Pacific/Guadalcanal","Central Pacific Standard Time"
"BAT","America/Sao_Paulo","E. South America Standard Time"
"BAU","America/Sao_Paulo","E. South America Standard Time"
"BAV","Asia/Shanghai","China Standard Time"
"BAX","Asia/Barnaul","Altai Standard Time"
"BAY","Europe/Bucharest","GTB Standard Time"
"BAZ","America/Manaus","SA Western Standard Time"
"BBA","America/Santiago","Pacific SA Standard Time"
"BBB","America/Chicago","Central Standard Time"
"BBC","America/Chicago","Central Standard Time"
"BBD","America/Chicago","Central Standard Time"
"BBG","Pacific/Tarawa","UTC+12"
"BBH","Europe/Berlin","W. Europe Standard Time"
